STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,iccs,type of crime,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,ES,Spain,2016,,294,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,ES,Spain,2017,,307,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,ES,Spain,2018,,289,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,ES,Spain,2019,,331,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,ES,Spain,2020,,298,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,ES,Spain,2021,,290,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,ES,Spain,2022,,325,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,ES,Spain,2023,,333,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FI,Finland,2014,,112,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FI,Finland,2015,,116,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FI,Finland,2016,,96,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FI,Finland,2017,,74,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FI,Finland,2018,,95,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FI,Finland,2019,,83,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FI,Finland,2020,,95,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FI,Finland,2021,,94,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FI,Finland,2022,,83,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FI,Finland,2023,,64,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FR,France,2014,,765,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FR,France,2015,,880,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FR,France,2016,,779,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FR,France,2017,,710,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FR,France,2018,,696,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FR,France,2019,,753,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FR,France,2020,,692,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FR,France,2021,,734,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FR,France,2022,,821,,,,,
dataflow,ESTAT:CRIM_OFF_CAT(1.0),Police-recorded offences by offence category,A,Annual,ICCS0101,Intentional homicide,NR,Number,FR,France,2023,,887,,,,,
