freq,citizen,sex,unit,age,asyl_app,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SE	54270 	81185 	162450 	28795 	26330 	28605 	30325 	20195 	20375 	23805 	17010 	11110 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SI	270 	385 	275 	1310 	1475 	2875 	3820 	3550 	5300 	6785 	7260 	5635 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SK	440 	330 	330 	145 	160 	175 	230 	280 	370 	545 	410 	150 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,UK	30585 	32785 	40160 	39735 	34780 	38840 	46055 	: 	: 	: 	: 	: 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,AT	: 	25675 	85505 	39875 	22455 	11580 	10985 	13400 	37800 	109775 	56135 	21810 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,BE	11965 	14045 	38990 	14250 	14035 	18130 	23105 	12905 	19545 	32100 	29260 	33050 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,BG	6980 	10805 	20160 	18990 	3470 	2465 	2075 	3460 	10890 	20260 	22390 	12130 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,CH	19315 	21940 	38060 	25825 	16615 	13465 	12545 	9725 	13240 	23075 	26820 	22670 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,CY	1150 	1480 	2105 	2840 	4475 	7610 	12695 	7065 	13260 	21590 	11660 	6750 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,CZ	490 	905 	1235 	1200 	1140 	1350 	1570 	790 	1055 	1335 	1130 	1025 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,DE	109375 	172945 	441805 	722270 	198255 	161885 	142450 	102525 	148175 	217735 	329035 	229695 
A,EXT_EU27_2020,T,PER,TOTAL,NASY_APP,DK	7170 	14535 	20825 	6055 	3125 	3465 	2605 	1420 	1995 	4475 	2355 	2180 
