Country,ISO3,citizen,sex,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Estonia,EST,NAT,M,513980,515272,516669,519008,521733,524235,524767,525275,525871,525692
Spain,ESP,NAT,M,20548550,20559800,20592656,20585938,20581209,20580494,20534537,20518579,20522182,20572893
Finland,FIN,NAT,M,2575286,2579138,2581028,2583840,2583170,2582233,2581149,2579867,2574376,2569972
France,FRA,NAT,M,29946697,29967580,30002698,29939795,30031233,30063207,30134632,30254646,30283377,30197275
Croatia,HRV,NAT,M,1999070,1972750,1944665,1911331,1891693,1879072,1860134,1842034,1820361,1804282
Hungary,HUN,NAT,M,4605673,4590784,4578622,4565845,4555246,4546827,4534757,4513299,4498718,4481197
Ireland,IRL,NAT,M,2048865,2066696,2093325,2114166,2139940,2161091,2188748,2221790,2231795,2243867
Iceland,ISL,NAT,M,152588,153267,154342,155699,156850,157878,159368,161339,162305,160623
Italy,ITA,NAT,M,26957361,26915827,26894436,26818307,26716910,26618418,26341582,26350754,26297293,26244078
Liechtenstein,LIE,NAT,M,12205,12243,12333,12392,12482,12580,12620,12717,12873,13027
Lithuania,LTU,NAT,M,1334664,1320765,1303987,1288978,1283218,1287331,1294145,1283153,1278411,1275492
Luxembourg,LUX,NAT,M,149335,150719,151932,154304,158708,162267,165056,168014,171126,174675
Latvia,LVA,NAT,M,772207,769363,765365,761928,758781,756933,754756,751444,748131,745561
Malta,MLT,NAT,M,198581,199066,199659,200118,200486,200779,201117,201336,201702,201918
Netherlands,NLD,NAT,M,7953826,7969437,7987362,8005787,8024287,8048886,8081277,8116990,8133796,8150155
Norway,NOR,NAT,M,2319255,2331415,2344435,2359326,2368932,2379432,2393356,2417511,2437401,2457682
Poland,POL,NAT,M,18333348,18287788,18251090,18237789,18211484,18163428,17701870,17608919,17539494,17475192
Portugal,PRT,NAT,M,4756104,4743743,4727826,4711932,4678750,4663556,4637897,4632864,4613835,4533730
Romania,ROU,NAT,M,9647504,9576217,9524646,9477515,9419122,9366639,9290267,,9133261,9125073
Sweden,SWE,NAT,M,4482241,4513791,4552688,4594712,4635342,4686071,4733774,4784760,4827391,4854864
Slovenia,SVN,NAT,M,954877,952862,950811,948185,947826,947014,949029,946521,943109,939969
